['Date', 'Delta', 'Gamma', 'Vega', 'Theta', '#Call', '#Put', '#CashSpot', '$P&L', '$Notional']
[20130627, -2033.6561821102359, -66.541305689708352, -12466.838887342505, 5467.8802425620443, -6503, -6503, 0, -26834.97998558293, 274274.17576423642]
[20130628, -1363.1308461018148, -66.567826661471798, -15605.424330112413, 5733.5649625000779, -6450, -6450, 0, 19799.701539147529, 300367.76975604345]
[20130701, -926.07785087705076, -77.299015047059811, -15275.229262163588, 5989.1111936295274, -6450, -6450, 0, -25016.829869688961, 275350.93988635449]
[20130702, -1093.3117996815095, -80.524521252033338, -14516.383254041453, 6240.2398491453696, -6450, -6450, 0, -8664.6161659894678, 266686.32372036501]
[20130703, -1056.9856555717031, -82.555675682824372, -13765.252393427781, 6998.3555445797801, -6450, -6450, 0, -6544.6355556237577, 260141.68816474124]
[20130705, 556.12759931632013, -87.305963022880974, -15419.575581652523, 5075.981923756658, -6577, -6577, 0, 2809.0046832378721, 268992.86533362273]
[20130708, 1324.8130986601918, -88.480941942002659, -13615.763755855223, 5025.507540417706, -6577, -6577, 0, 2433.8049663813144, 271426.67030000407]
[20130709, 2530.3107941291109, -83.787228787693451, -11068.844652968604, 4412.6116416658133, -6577, -6577, 0, 15539.668181232029, 286966.33848123607]
[20130710, 2628.6250450901139, -87.8502252441194, -10239.203241955413, 4875.0300312077552, -6577, -6577, 0, -5209.3305667961449, 281757.00791443995]
[20130711, 4550.2394202201049, -30.86573876085027, -5813.8014606136894, 1968.22028293516, -6577, -6577, 0, 92212.154784788727, 373969.16269922868]
[20130712, 3709.3757726192448, -35.741873697417205, -10933.567793111921, 2373.1103521518103, -7191, -7191, 0, 52199.391180809209, 458566.35159448371]
[20130715, 3866.1888848187937, -34.573262629325185, -10366.467227301331, 2292.8516969311786, -7191, -7191, 0, 5409.2503934179549, 463975.60198790167]
[20130716, 3565.4209736096755, -41.444505365404396, -11042.492364073991, 2672.8923545069883, -7191, -7191, 0, -31139.612938427308, 432835.98904947436]
[20130717, 3838.4471615001867, -35.679195356653693, -9619.9227173656964, 2233.042823150809, -7191, -7191, 0, 11548.997900169183, 444384.98694964353]
[20130718, 4198.5486223318858, -35.981205399761024, -9145.1432442476253, 2175.7701867344813, -7191, -7191, 0, 34485.206300047706, 478870.19324969122]
[20130719, 3307.0824907489468, -59.15803834234687, -17313.26390181997, 3383.8345648191253, -8473, -8473, 0, 5134.1546937187668, 543096.38412606681]
[20130722, 3587.1482141476235, -61.054362652002055, -16510.384844476728, 3203.7706516510043, -8473, -8473, 0, 42.188228792481823, 543138.57235485932]
[20130723, 3357.2957813548192, -64.000768643940475, -16131.00305366069, 3212.8479841065596, -8473, -8473, 0, -23806.738810317707, 519331.83354454162]
[20130724, 2915.7509290788735, -67.355834391761334, -16214.088050481423, 3572.5734609543315, -8473, -8473, 0, -22186.240949740735, 497145.59259480087]
[20130725, 3233.3722314076235, -64.765551534102528, -15137.341536889231, 3404.9477241545742, -8473, -8473, 0, 7856.1826646267291, 505001.77525942761]
[20130726, 1757.1337937103808, -97.440015679335929, -24800.511530584034, 4979.2463517151464, -9428, -9428, 0, -40924.325369368162, 493793.49995667266]
[20130729, 1116.7472823840008, -101.38599849775611, -24410.351861714291, 5360.4998015354549, -9428, -9428, 0, -13062.048265355988, 480731.45169131667]
[20130730, 1137.648144471937, -104.80151350846404, -23633.246104943344, 5408.2897791430851, -9428, -9428, 0, -13888.078776679955, 466843.37291463674]
[20130731, 1121.3846541331995, -106.04210627199616, -22812.810315795468, 5566.9824161880979, -9428, -9428, 0, -5695.0860400601887, 461148.28687457653]
[20130801, 3388.1690529372709, -99.280367783473693, -20847.969870626875, 5080.7893982126434, -9428, -9428, 0, 45693.004272198537, 506841.29114677507]
[20130802, 2913.3913622920954, -143.00596739778877, -30609.108513642554, 6250.90512552781, -10881, -10881, 0, -55537.547003607549, 509413.25662322814]
[20130805, 2666.0682339510345, -152.28422735837745, -29458.540017813684, 6105.5847321828569, -10881, -10881, 0, -29493.000799836133, 479920.25582339201]
[20130806, 1035.8162557041562, -159.65973184747841, -29607.611581454195, 6989.4847941376156, -10881, -10881, 0, -21673.10200392198, 458247.15381947003]
[20130807, -20.274027305219533, -161.26479395822506, -28614.497890460738, 7471.9107633374088, -10881, -10881, 0, -9792.4143130354641, 448454.73950643453]
[20130808, 1042.7739715645298, -172.48658933749485, -27529.906751450166, 7571.0469333113624, -10881, -10881, 0, -11146.17582758973, 437308.56367884483]
[20130809, -1266.0503732871016, -200.27403075987647, -35059.433257477634, 9567.9095584486604, -11784, -11784, 0, -3745.3454599329998, 477885.58118666371]
[20130812, -1733.1388517020007, -217.66262206890411, -33054.035859979522, 9821.1229293156157, -11784, -11784, 0, -12000.897401856986, 465884.68378480675]
[20130813, -774.59552827402956, -237.66303341062701, -32141.188575632637, 9744.4734177301179, -11784, -11784, 0, -41972.579497356921, 423912.10428744985]
[20130814, -2942.3745262835232, -252.42120700519408, -30029.366946355629, 11487.903055283874, -11784, -11784, 0, 13916.313820435986, 437828.41810788587]
[20130815, -6941.0540466645361, -144.01371765841623, -22995.376507355562, 8933.1774060877869, -11784, -11784, 0, 141621.52551120182, 579449.94361908769]
[20130816, -6126.4456067407273, -131.32854446148022, -28717.945173698696, 8568.4042791278989, -12653, -12653, 0, 60825.994095811606, 691626.02586666809]
[20130819, -7423.6795907679261, -104.9637674040093, -23747.493611815713, 6736.606224998508, -12653, -12653, 0, 54257.665369565584, 745883.69123623369]
[20130820, -7152.6036044233515, -124.04129037919313, -24731.38354832348, 7461.4389995943411, -12653, -12653, 0, -61751.585177442903, 684132.10605879081]
[20130821, -8007.1100238357258, -95.255292189546338, -21013.509588514964, 6398.7685166448691, -12653, -12653, 0, 72348.870478128112, 756480.9765369189]
[20130822, -7147.1484541497284, -108.49582836878328, -21299.323795263535, 6456.7599051474308, -12653, -12653, 0, -122515.94915450214, 633965.02738241677]
[20130823, -4969.8561170367066, -161.93424118917687, -32942.238104552845, 8398.4041258133493, -13273, -13273, 0, -33390.275502545286, 639374.48125802318]
[20130827, -8136.3339271626101, -92.81687410024702, -24514.817822626694, 7178.7808837750708, -13273, -13273, 0, 239827.88838153391, 879202.36963955709]
[20130828, -7968.4349984676792, -88.530875540944834, -22969.005089379909, 6713.432373393669, -13273, -13273, 0, -44974.531869348692, 834227.83777020837]
[20130829, -7716.7668718964533, -86.156410559767338, -22124.578105731998, 7090.3022263582152, -13273, -13273, 0, -20051.485512600018, 814176.35225760832]
